name,entity_type,validators,effective_balance_gwei,share
NO - 0x9ff25a72c554743460f4ca575c9c07fc0e5deb8c,None,180,5760000000000,0.000075558694
NO - 0xd4b0625e65f7d0b417b6386421af629923d3f5f9,None,180,5760000000000,0.000075558694
NO - 0x63a0cb39ddff858f608b4708fdc72be83ab40b5e,None,177,5664000000000,0.000074299382
NO - 0xddcbfa9234d1e6943dd6707223ef089fcb965a87,None,172,5504000000000,0.000072200529
NO - 0x701f4dcead1049fa01f321d49f6dca525cf4a5a5,None,172,5504000000000,0.000072200529
NO - 0x958f598b383518542f5fc6254264599cdf613fc9,None,171,5472000000000,0.000071780759
NO - 0x6d76527a040421e3541a45f0652712605373b3f7,None,170,5440000000000,0.000071360988
NO - 0xfd549f75304920eda3452a132b611d8b7e9f61b2,None,168,5376000000000,0.000070521447
CSM Operator 80,None,168,5376000000000,0.000070521447
NO - 0xbf4eda607d85d5c524154cc96352e87244f71f66,None,167,5344000000000,0.000070101677
NO - 0x7b25215edcc14e5eea0fdb68b018a3dca78d5c64,None,165,5280000000000,0.000069262136
SSV - Playful Penguin,None,160,5120000000000,0.000067163283
Obol - Ingenious Ibis,None,160,5120000000000,0.000067163283
Obol - Dynamic Dragonfly,None,160,5120000000000,0.000067163283
Obol - Yielding Yellowthroat,None,160,5120000000000,0.000067163283
CSM Operator 252,None,160,5120000000000,0.000067163283
Obol - Unfettered Urial,None,160,5120000000000,0.000067163283
Obol - Dazzling Duck,None,160,5120000000000,0.000067163283
NO - 0x52e97b5ca8e850c435f13eacc6aab235661b1a0b,None,159,5088000000000,0.000066743513
SSV - Youthful Yellowtail,None,156,4992000000000,0.000065484201
CSM Operator 151,None,156,4992000000000,0.000065484201
NO - 0xb0a1f66d1a2fb03af8207634d79e8988d10c1664,None,153,4896000000000,0.000064224890
NO - 0x032a3c209bb58535ffbed870539f457d8a399003,None,150,4800000000000,0.000062965578
CSM Operator 171,None,148,4736000000000,0.000062126037
NO - 0x135fc07e43dfc021d1dc95bbc4a4edf77bcc685c,None,144,4608000000000,0.000060446955
Deutsche Telekom,None,144,4608000000000,0.000060446955
NO - 0xb9dceed24c70e2b0303a03d97a79732ccacdd471,None,143,4576000000000,0.000060027184
NO - 0x1f691c24d104b6993f03eb3c36d2cc95eaa42063,None,143,4576000000000,0.000060027184
NO - 0x68d3081e20321c2386d038b688b045093f647e87,None,141,4512000000000,0.000059187643
NO - 0x5555cfde0932c1f8eff8b1f33be4c1aabedf5d78,None,139,4448000000000,0.000058348102
NO - 0xb1586a262f0215e9560e9ba671b9203e9b96a0df,None,137,4384000000000,0.000057508561
NO - 0xb05163e93de8ebc4e5dd8459bc7138252f439592 - Puffer,None,136,4352000000000,0.000057088791
NO - 0xe11f01ff4c05861ef333b8199e801d7996a84a2a,None,135,4320000000000,0.000056669020
NO - 0x3c005295a11aa1e637adab63237b218b2d0ddf5d,None,133,4256000000000,0.000055829479
NO - 0x6e1579f6c6d6b2ccb4097685c1b0903ea50bc2d4,None,132,4224000000000,0.000055409709
Myrmidon Staking,None,132,4224000000000,0.000055409709
Epoch Forge,None,130,4160000000000,0.000054570168
CSM Operator 40,None,128,4096000000000,0.000053730627
NO - 0x5c824cadb80b6a0677d1c612cf70a555d02b5b36,None,128,4096000000000,0.000053730627
NO - 0xeb7c213f321d4a5fce0cea18304f83e0288ebd82,None,128,4096000000000,0.000053730627
CSM Operator 98,None,126,4032000000000,0.000052891086
NO - 0x8a7bed622a4b29212a77bd37c428a44e281a26db,None,125,4000000000000,0.000052471315
CSM Operator 403,None,125,4000000000000,0.000052471315
CSM Operator 401,None,125,4000000000000,0.000052471315
CSM Operator 405,None,125,4000000000000,0.000052471315
NO - 0xfff1a0301bdf0a5d3686dd19374fc6fd68a57a15,None,121,3872000000000,0.000050792233
CSM Operator 415,None,120,3840000000000,0.000050372462
NO - 0xa4186193281f7727c070766ba60b63df74ea4da1,None,120,3840000000000,0.000050372462
NO - 0xc54e0691666301921bea137b0c48cebba27a8ac9,None,120,3840000000000,0.000050372462
CSM Operator 25,None,120,3840000000000,0.000050372462
CSM Operator 416,None,120,3840000000000,0.000050372462
NO - 0x6d03446a4ae72215924c767b91649e81787b482e,None,120,3840000000000,0.000050372462
CSM Operator 412,None,120,3840000000000,0.000050372462
NO - 0xcc1fc2fcf6b3b45f76a69e82ccedb75a2bbd727c,None,120,3840000000000,0.000050372462
NO - 0xd02e4ca21ccdd67fbb9dd0881414f20db499ca11,None,118,3776000000000,0.000049532921
